media,Editeur,group,nb_declarations_2020,total_declarations_duration_2020,women_speech_duration_2020,men_speech_duration_2020,other_duration_2020,women_expression_rate_2020,speech_rate_2020,nb_declarations_2019,total_declarations_duration_2019,women_speech_duration_2019,men_speech_duration_2019,other_duration_2019,women_expression_rate_2019,speech_rate_2019
tv,M6,M6,1525.0,3490507.419999999,1388644.8399999999,1587909.1999999993,513953.37999999966,0.4665276764133603,0.8527568292635229,1369.0,9027722.200000001,2911074.1599999997,3275428.9800000004,2841219.06,0.4705524420052261,0.6852784127539946
tv,NRJ 12,NRJ,968.0,3820494.999999999,1022737.8199999996,2156553.8200000003,641203.3599999994,0.3216873240354885,0.83216746521066,601.0,2693101.38,681732.8200000001,1649566.72,361801.83999999997,0.2924260946750755,0.8656560637906621
tv,RMC Découverte,NextRadioTV,658.0,3871634.3800000004,967435.780000001,2411768.8799999994,492429.71999999986,0.28629097001777953,0.8728108928508895,511.0,3449292.46,807881.64,2199346.2,442064.62,0.2686466350351425,0.8718390437672542
tv,RMC Story,NextRadioTV,766.0,6977840.659999998,1475957.9200000002,4771764.659999998,730118.0800000005,0.23623934979520178,0.8953661862493718,834.0,7105984.6,1612230.9,4657167.6,836586.1000000001,0.25715878484993415,0.8822702064397945
tv,TF1,TF1,1604.0,4093000.6200000052,1332075.3400000029,2200629.6600000015,560295.6200000008,0.3770695090589226,0.8631088357861035,1293.0,3117744.16,1007614.98,1710596.72,399532.46,0.3706903991326356,0.8718520701198267
tv,TFX,TF1,1036.0,3258556.32,1155650.9399999997,1333979.6399999994,768925.7400000009,0.46418571063663594,0.7640287094991806,302.0,1260978.72,296178.36,697877.22,266923.14,0.2979494969486515,0.7883206625406017
tv,TMC,TF1,463.0,1276815.2199999993,229423.99999999983,846126.8399999994,201264.37999999986,0.21330837322390078,0.8423700024503153,437.0,1211777.08,204167.24,809060.04,198549.8,0.20150191771386178,0.8361498964809599
tv,W9,M6,391.0,1439819.6599999995,348110.8399999999,643178.7999999996,448530.02,0.3511696541083594,0.688481806117302,258.0,911950.48,215229.84,409247.56,287473.08,0.3446559315036861,0.6847711731014167
tv,franceinfo,France Télévisions,512.0,3056399.7600000002,1140308.2000000004,1686257.4999999998,229834.0600000003,0.40342532989769186,0.9248023563514478,855.0,5958109.640000001,2351909.04,3006819.5,599381.1000000001,0.43889311101397943,0.8994007938397051
radio,Virgin Radio ,Lagardère Active ,,,,,,,,284.0,2050194.32,220821.64,490664.68,1338708.0,0.3103666701560755,0.34703360216118445
tv,CSTAR,Canal,,,,,,,,337.0,344408.2,58562.2,199616.42,86229.58,0.2268282323300047,0.749629712649118
tv,France Ô,France Télévisions,,,,,,,,81.0,293579.27999999997,150815.88,122236.24,20527.16,0.5523336716814358,0.9300796704726574
tv,GULLI,M6,,,,,,,,260.0,250652.4800000001,58715.4600000001,100725.94,91211.08,0.368257303310182,0.6361054157533172
tv,Paris Première,M6,,,,,,,,535.0,1248141.3,294305.04,824927.12,128909.14,0.26295262995302066,0.8967191134529401
